Patient GP,GP practice name,Postcode,ICB23ons,LAD21,LAD21name,ICB23,ICB23name,LSOA11,MSOA11,POSTCODE,NUMBER_OF_PATIENTS,IMD2019 Decile,Count_Referrals_Baseline,Count_Referrals_CDC,Latitude,Longitude
E83011,THE EVERGLADE MEDICAL PRACTICE,NW9 5XT,E54000028,E09000003,Barnet,QMJ,NHS North Central London ICB,E01000151,E02000049,NW9 5XT,11115,2,21,27,51.60158,-0.24421
E83012,THE OLD COURT HOUSE SURGERY,EN5 4BB,E54000028,E09000003,Barnet,QMJ,NHS North Central London ICB,E01000292,E02000024,EN5 4BB,9295,7,14,66,51.6529,-0.20159
E83013,CORNWALL HOUSE SURGERY,N3 1LD,E54000028,E09000003,Barnet,QMJ,NHS North Central London ICB,E01000296,E02000046,N3 1LD,5843,7,18,31,51.60496,-0.19016
E83016,MILLWAY MEDICAL PRACTICE,NW7 2HX,E54000028,E09000003,Barnet,QMJ,NHS North Central London ICB,E01000258,E02000039,NW7 2HX,21081,8,21,25,51.6155577,-0.2440094
E83017,LONGROVE SURGERY,EN5 2ED,E54000028,E09000003,Barnet,QMJ,NHS North Central London ICB,E01000293,E02000024,EN5 2ED,17580,9,18,33,51.6488107,-0.19470407307692308
E83018,WATLING MEDICAL CENTRE,HA8 0NR,E54000028,E09000003,Barnet,QMJ,NHS North Central London ICB,E01000129,E02000047,HA8 0NR,17537,3,19,68,51.60329,-0.2620199
E83020,ST. GEORGES MEDICAL CENTRE,NW4 4QR,E54000028,E09000003,Barnet,QMJ,NHS North Central London ICB,E01000241,E02000054,NW4 4QR,11804,8,22,28,51.5918751,-0.2244879
E83024,ST ANDREWS MEDICAL PRACTICE.,N20 9EX,E54000028,E09000003,Barnet,QMJ,NHS North Central London ICB,E01000281,E02000031,N20 9EX,11336,8,29,30,51.63014,-0.17238
E83025,PENNINE DRIVE PRACTICE,NW2 1PA,E54000028,E09000003,Barnet,QMJ,NHS North Central London ICB,E01000222,E02000063,NW2 1PA,8318,3,16,31,51.56851,-0.20882
E83027,THE PRACTICE AT 188,NW11 9AY,E54000028,E09000003,Barnet,QMJ,NHS North Central London ICB,E01000220,E02000060,NW11 9AY,9017,6,22,28,51.57642,-0.20467
E83028,PARKVIEW SURGERY,HA8 0RW,E54000028,E09000003,Barnet,QMJ,NHS North Central London ICB,E01000127,E02000047,HA8 0RW,6474,3,18,36,51.6069699,-0.25748
E83030,PENSHURST GARDENS SURGERY,HA8 9TN,E54000028,E09000003,Barnet,QMJ,NHS North Central London ICB,E01000192,E02000041,HA8 9TN,6275,6,20,60,51.61613,-0.27281
E83053,LANE END MEDICAL GROUP,HA8 9GJ,E54000028,E09000003,Barnet,QMJ,NHS North Central London ICB,E01000192,E02000041,HA8 9GJ,14598,6,13,29,51.61529,-0.27487
E83031,THE VILLAGE SURGERY,EN4 8RF,E54000028,E09000003,Barnet,QMJ,NHS North Central London ICB,E01000171,E02000029,EN4 8RF,5524,4,16,24,51.6485337,-0.168584
E83032,OAK LODGE MEDICAL CENTRE,HA8 0AP,E54000028,E09000003,Barnet,QMJ,NHS North Central London ICB,E01000125,E02000047,HA8 0AP,17601,3,18,36,51.60368,-0.2707
E84653,ZAIN MEDICAL CENTRE,HA8 0AD,E54000027,E09000003,Barnet,QRV,NHS North West London ICB,E01000125,E02000047,HA8 0AD,3177,3,23,61,51.6066065,-0.2705675
E83034,COLNEY HATCH LANE SURGERY,N10 1ET,E54000028,E09000003,Barnet,QMJ,NHS North Central London ICB,E01000156,E02000045,N10 1ET,5124,9,18,64,51.60081063809523,-0.14742593333333331
E83035,WENTWORTH MEDICAL PRACTICE.,N3 1YL,E54000028,E09000003,Barnet,QMJ,NHS North Central London ICB,E01000301,E02000043,N3 1YL,13679,9,22,35,51.60775,-0.18792
E83037,DERWENT CRESCENT MEDICAL CENTRE,N20 0QQ,E54000028,E09000003,Barnet,QMJ,NHS North Central London ICB,E01000321,E02000035,N20 0QQ,5310,6,19,31,51.6229,-0.17531
E83038,JAI MEDICAL CENTRE,HA8 8NB,E54000028,E09000003,Barnet,QMJ,NHS North Central London ICB,E01000188,E02000037,HA8 8NB,9167,9,28,29,51.6218667,-0.2774664
E83039,RAVENSCROFT MEDICAL CENTRE,NW11 8BB,E54000028,E09000003,Barnet,QMJ,NHS North Central London ICB,E01000218,E02000060,NW11 8BB,5806,6,23,67,51.57516895,-0.2025618
E83044,ADDINGTON MEDICAL CENTRE,EN5 1QH,E54000028,E09000003,Barnet,QMJ,NHS North Central London ICB,E01000251,E02000025,EN5 1QH,9749,5,17,64,51.64966,-0.17684
E83045,FRIERN BARNET MEDICAL CENTRE,N11 3BU,E54000028,E09000003,Barnet,QMJ,NHS North Central London ICB,E01000161,E02000038,N11 3BU,9710,6,10,32,51.61323625238096,-0.15595378095238094
E83046,MULBERRY MEDICAL PRACTICE,NW7 3QB,E54000028,E09000003,Barnet,QMJ,NHS North Central London ICB,E01000233,E02000036,NW7 3QB,8708,8,18,28,51.61486,-0.26003
E83668,DR SP TALPAHEWA,HA8 9NT,E54000028,E09000003,Barnet,QMJ,NHS North Central London ICB,E01000233,E02000036,HA8 9NT,4147,8,23,66,51.61612,-0.2602999
E83049,LANGSTONE WAY SURGERY,NW7 1GR,E54000028,E09000003,Barnet,QMJ,NHS North Central London ICB,E01000259,E02000048,NW7 1GR,8958,7,11,35,51.60698,-0.21081
E83050,EAST FINCHLEY MEDICAL CENTRE,N2 9QD,E54000028,E09000003,Barnet,QMJ,NHS North Central London ICB,E01000182,E02000052,N2 9QD,7615,9,27,25,51.58812,-0.16288
E83600,ADLER JS-THE SURGERY,NW11 7NP,E54000028,E09000003,Barnet,QMJ,NHS North Central London ICB,E01000212,E02000058,NW11 7NP,6878,8,12,26,51.5750699,-0.19596
E83613,EAST BARNET HEALTH CENTRE,EN4 8QZ,E54000028,E09000003,Barnet,QMJ,NHS North Central London ICB,E01000170,E02000029,EN4 8QZ,11218,5,18,26,51.64638,-0.1664499
E83621,BRUNSWICK PARK MEDICAL PRACTICE,N11 1EY,E54000028,E09000003,Barnet,QMJ,NHS North Central London ICB,E01000118,E02000033,N11 1EY,8813,8,25,30,51.62924,-0.14921
E83637,COLINDALE MEDICAL CENTRE LP,NW9 6DJ,E54000028,E09000003,Barnet,QMJ,NHS North Central London ICB,E01000148,E02000053,NW9 6DJ,11181,3,21,40,51.5912042,-0.2484511
E83638,THE MOUNTFIELD SURGERY,N3 3NR,E54000028,E09000003,Barnet,QMJ,NHS North Central London ICB,E01000202,E02000051,N3 3NR,4986,9,26,35,51.595,-0.19422
Y03528,BRENT & HARROW SAFE HAVEN UNIT,N3 3NR,E54000027,E09000003,Barnet,QRV,NHS North West London ICB,E01000202,E02000051,N3 3NR,4,9,22,36,51.595,-0.19422
E83639,ROSEMARY SURGERY,N3 2QN,E54000028,E09000003,Barnet,QMJ,NHS North Central London ICB,E01000197,E02000046,N3 2QN,6170,7,22,58,51.5969,-0.18415
E83649,THE HODFORD ROAD PRACTICE,NW11 8NH,E54000028,E09000003,Barnet,QMJ,NHS North Central London ICB,E01000146,E02000061,NW11 8NH,4185,5,19,30,51.5690173,-0.1993197
E83653,THE PHOENIX PRACTICE,NW4 4AE,E54000028,E09000003,Barnet,QMJ,NHS North Central London ICB,E01000245,E02000055,NW4 4AE,10911,4,24,42,51.58731,-0.22357
E83657,THE HILLVIEW SURGERY,NW4 1DG,E54000028,E09000003,Barnet,QMJ,NHS North Central London ICB,E01000238,E02000057,NW4 1DG,829,6,23,34,51.58987,-0.21491
E87045,COVENT GARDEN MEDICAL CENTRE,WC2H 9AA,E54000027,E09000007,Camden,QRV,NHS North West London ICB,E01000918,E02000193,WC2H 9AA,4550,5,19,36,51.51556,-0.12371
F83061,MUSEUM PRACTICE,WC1B 3BA,E54000028,E09000007,Camden,QMJ,NHS North Central London ICB,E01000918,E02000193,WC1B 3BA,5388,5,25,62,51.51819825,-0.12564165
E87066,FITZROVIA MEDICAL CENTRE,W1T 6EU,E54000027,E09000007,Camden,QRV,NHS North West London ICB,E01000851,E02000191,W1T 6EU,7573,6,20,38,51.52236,-0.13995
F83003,PARK END SURGERY,NW3 2SE,E54000028,E09000007,Camden,QMJ,NHS North Central London ICB,E01000893,E02000167,NW3 2SE,7649,10,24,28,51.55603,-0.16567
F83005,GOWER STREET PRACTICE,WC1E 6DP,E54000028,E09000007,Camden,QMJ,NHS North Central London ICB,E01000850,E02000191,WC1E 6DP,12548,6,27,21,51.5203745,-0.1300993
F83043,RIDGMOUNT PRACTICE,WC1E 7AA,E54000028,E09000007,Camden,QMJ,NHS North Central London ICB,E01000850,E02000191,WC1E 7AA,18999,6,19,57,51.5204111,-0.1311053
F83006,AMPTHILL PRACTICE,NW1 1TN,E54000028,E09000007,Camden,QMJ,NHS North Central London ICB,E01000947,E02000186,NW1 1TN,7707,4,20,38,51.5344823,-0.1378474
F83011,PRIMROSE HILL SURGERY,NW1 8UR,E54000028,E09000007,Camden,QMJ,NHS North Central London ICB,E01000859,E02000183,NW1 8UR,7601,9,17,36,51.54243296,-0.15584229
F83017,HAMPSTEAD GROUP PRACTICE,NW3 2QU,E54000028,E09000007,Camden,QMJ,NHS North Central London ICB,E01000898,E02000173,NW3 2QU,18379,7,20,39,51.5533303,-0.1615808
F83018,PRINCE OF WALES GROUP SURGERY,NW5 3LN,E54000028,E09000007,Camden,QMJ,NHS North Central London ICB,E01000901,E02000172,NW5 3LN,8665,3,17,32,51.5468264,-0.146403
F83632,QUEENS CRESCENT PRACTICE,NW5 4EB,E54000028,E09000007,Camden,QMJ,NHS North Central London ICB,E01000901,E02000172,NW5 4EB,6449,3,21,54,51.5495873,-0.1522048
F83019,ABBEY MEDICAL CENTRE,NW8 0AG,E54000028,E09000007,Camden,QMJ,NHS North Central London ICB,E01000929,E02000185,NW8 0AG,13457,4,17,49,51.53792,-0.18513
F83658,BELSIZE PRIORY MEDICAL PRACTICE (GROUP),NW6 4DX,E54000028,E09000007,Camden,QMJ,NHS North Central London ICB,E01000929,E02000185,NW6 4BJ,5210,4,27,34,51.53977,-0.18801
F83020,ADELAIDE MEDICAL CENTRE,NW3 3RY,E54000028,E09000007,Camden,QMJ,NHS North Central London ICB,E01000846,E02000179,NW3 3RY,11954,4,21,28,51.5435282,-0.161238
F83022,CAVERSHAM GROUP PRACTICE,NW5 2UP,E54000028,E09000007,Camden,QMJ,NHS North Central London ICB,E01000925,E02000174,NW5 2UP,16883,3,22,38,51.5503681,-0.1374434
F83023,JAMES WIGG PRACTICE,NW5 2BX,E54000028,E09000007,Camden,QMJ,NHS North Central London ICB,E01000866,E02000174,NW5 2BX,22026,4,24,64,51.5464,-0.13995
F83025,THE REGENTS PARK PRACTICE,NW1 3RH,E54000028,E09000007,Camden,QMJ,NHS North Central London ICB,E01000951,E02000188,NW1 3RH,6578,2,20,31,51.52933,-0.14182
F83042,GRAY'S INN ROAD MEDICAL CENTRE,WC1X 8TS,E54000028,E09000007,Camden,QMJ,NHS North Central London ICB,E01000920,E02000192,WC1X 8TS,8317,6,15,27,51.52273,-0.11451
F83058,HOLBORN MEDICAL CENTRE,WC1N 3NA,E54000028,E09000007,Camden,QMJ,NHS North Central London ICB,E01000920,E02000192,WC1N 3NA,12173,6,18,30,51.52224235,-0.11855935
F83044,THE BLOOMSBURY SURGERY,WC1N 1PD,E54000028,E09000007,Camden,QMJ,NHS North Central London ICB,E01000937,E02000190,WC1N 1PD,7267,6,18,30,51.5256159,-0.1230737
F83048,BRUNSWICK MEDICAL CENTRE UHPC,WC1N 1AF,E54000028,E09000007,Camden,QMJ,NHS North Central London ICB,E01000853,E02000190,WC1N 1AF,8916,3,15,27,51.52443056,-0.12354422
F83050,FORTUNE GREEN ROAD SURGERY,NW6 1DS,E54000028,E09000007,Camden,QMJ,NHS North Central London ICB,E01000877,E02000170,NW6 1DS,3207,8,11,27,51.55465,-0.19663
F83052,BROOKFIELD PARK SURGERY,N19 5BZ,E54000028,E09000007,Camden,QMJ,NHS North Central London ICB,E01000908,E02000166,N19 5BZ,3637,3,29,35,51.56404195,-0.14353325
F83055,WEST HAMPSTEAD MEDICAL CENTRE,NW6 1TP,E54000028,E09000007,Camden,QMJ,NHS North Central London ICB,E01000971,E02000175,NW6 1TP,22638,9,24,42,51.55004,-0.19658
F83057,PARLIAMENT HILL SURGERY,NW5 1TR,E54000028,E09000007,Camden,QMJ,NHS North Central London ICB,E01000912,E02000166,NW5 1TR,8112,4,19,22,51.5548831,-0.14522668
F83615,CHOLMLEY GARDENS SURGERY,NW6 1AE,E54000028,E09000007,Camden,QMJ,NHS North Central London ICB,E01000874,E02000170,NW6 1AE,8000,10,21,27,51.5522599,-0.19542
F83623,KEATS GROUP PRACTICE,NW3 1NR,E54000028,E09000007,Camden,QMJ,NHS North Central London ICB,E01000896,E02000167,NW3 1NR,13364,10,15,72,51.5548938,-0.1718007
F83633,DALEHAM GARDENS HEALTH CENTRE,NW3 5BY,E54000028,E09000007,Camden,QMJ,NHS North Central London ICB,E01000882,E02000173,NW3 5BY,5353,10,22,29,51.54795,-0.17438
F83635,KINGS CROSS SURGERY,NW1 1HY,E54000028,E09000007,Camden,QMJ,NHS North Central London ICB,E01000956,E02000187,NW1 1HY,9409,2,23,40,51.52992,-0.13061
F83683,SOMERS TOWN MEDICAL CENTRE,NW1 1HY,E54000028,E09000007,Camden,QMJ,NHS North Central London ICB,E01000956,E02000187,NW1 1HY,7300,2,21,20,51.52992,-0.13061
F83665,SWISS COTTAGE SURGERY,NW3 3NP,E54000028,E09000007,Camden,QMJ,NHS North Central London ICB,E01000963,E02000182,NW3 3NP,16477,8,20,29,51.54269405,-0.17237835
F85002,MEDICUS HEALTH PARTNERS,N9 7HD,E54000028,E09000010,Enfield,QMJ,NHS North Central London ICB,E01001487,E02000299,N9 7HD,93594,2,26,65,51.6334902,-0.0529567
F85044,THE BOUNCES ROAD SURGERY,N9 7HD,E54000028,E09000010,Enfield,QMJ,NHS North Central London ICB,E01001487,E02000299,N9 7HD,6264,2,10,58,51.6334902,-0.0529567
F85676,BOUNDARY HOUSE SURGERY,N9 7HD,E54000028,E09000010,Enfield,QMJ,NHS North Central London ICB,E01001487,E02000299,N9 7HD,5380,2,26,33,51.6334902,-0.0529567
F85004,EAGLE HOUSE SURGERY,EN3 4DN,E54000028,E09000010,Enfield,QMJ,NHS North Central London ICB,E01001507,E02000288,EN3 4DN,13007,2,24,30,51.6479197,-0.0461919
F85634,EAST ENFIELD PRACTICE,EN3 4DE,E54000028,E09000010,Enfield,QMJ,NHS North Central London ICB,E01001507,E02000288,EN3 4EZ,8099,2,18,66,51.64889944,-0.0465534
F85007,LAWRENCE HOUSE SURGERY,N15 4JR,E54000028,E09000014,Haringey,QMJ,NHS North Central London ICB,E01002067,E02000420,N15 4JR,16815,2,21,36,51.5891,-0.07871
F85705,JS MEDICAL PRACTICE,N15 4JR,E54000028,E09000014,Haringey,QMJ,NHS North Central London ICB,E01002067,E02000420,N15 4JR,12946,2,25,37,51.5891,-0.07871
F85008,STAUNTON GROUP PRACTICE,N22 8HE,E54000028,E09000014,Haringey,QMJ,NHS North Central London ICB,E01002098,E02000403,N22 8HE,12580,4,14,51,51.5988939,-0.1120299
F85010,KEATS SURGERY,N9 9HJ,E54000028,E09000010,Enfield,QMJ,NHS North Central London ICB,E01001461,E02000303,N9 9HJ,4831,2,22,26,51.62886,-0.07691
F85013,TYNEMOUTH MEDICAL PRACTICE,N15 4RH,E54000028,E09000014,Haringey,QMJ,NHS North Central London ICB,E01002068,E02000421,N15 4RH,9338,3,30,46,51.58625,-0.06833
F85014,HIGHGATE GROUP PRACTICE,N6 4QA,E54000028,E09000014,Haringey,QMJ,NHS North Central London ICB,E01002010,E02000426,N6 4QA,16790,5,17,50,51.5778775,-0.1524932
F85016,COCKFOSTERS MEDICAL CTRE,EN4 9NB,E54000028,E09000010,Enfield,QMJ,NHS North Central London ICB,E01001415,E02000287,EN4 9NB,7014,6,18,24,51.6484526,-0.1487391
F85017,CHARLTON HOUSE MEDICAL CENTRE,N17 6SB,E54000028,E09000014,Haringey,QMJ,NHS North Central London ICB,E01001979,E02000407,N17 6SB,6321,2,20,46,51.5957368375,-0.06900275
F85028,BRUCE GROVE PRIMARY HEALTH CARE CTR,N17 6QB,E54000028,E09000014,Haringey,QMJ,NHS North Central London ICB,E01001979,E02000407,N17 6QB,7391,2,28,37,51.5921382,-0.07006752857142856
F85019,MORRIS HOUSE GROUP PRACTICE,N17 6AA,E54000028,E09000014,Haringey,QMJ,NHS North Central London ICB,E01002082,E02000409,N17 6AA,14636,1,28,74,51.5972486,-0.0805021
F85020,THE WOODBERRY PRACTICE,N21 3LE,E54000028,E09000010,Enfield,QMJ,NHS North Central London ICB,E01001564,E02000298,N21 3LE,9558,8,14,90,51.6272499,-0.10038
F85023,THE ORDNANCE UNITY CENTRE FOR HEALTH,EN3 6ND,E54000028,E09000010,Enfield,QMJ,NHS North Central London ICB,E01001446,E02000277,EN3 6ND,12676,3,18,59,51.6727608,-0.038927
F85025,WHITE LODGE MEDICAL PRACTICE,EN2 6NL,E54000028,E09000010,Enfield,QMJ,NHS North Central London ICB,E01001536,E02000284,EN2 6NL,13790,5,19,26,51.658521925,-0.08781155
F85029,ABERNETHY HOUSE SURGERY,EN1 3EB,E54000028,E09000010,Enfield,QMJ,NHS North Central London ICB,E01001544,E02000285,EN1 3EB,12344,8,14,37,51.6545432,-0.0811315
F85030,SOMERSET GARDENS FAMILY HEALTH CENTRE,N17 8NW,E54000028,E09000014,Haringey,QMJ,NHS North Central London ICB,E01002092,E02000402,N17 8NW,13578,2,17,50,51.60534,-0.0734699
F85031,WESTBURY MEDICAL CENTRE,N22 6RX,E54000028,E09000014,Haringey,QMJ,NHS North Central London ICB,E01002028,E02000406,N22 6RX,11486,3,18,47,51.5980098,-0.0934014
F85032,SOUTHGATE,N14 4PR,E54000028,E09000010,Enfield,QMJ,NHS North Central London ICB,E01001420,E02000296,N14 4PR,9888,4,19,34,51.6403025,-0.1426597
F85033,WINCHMORE HILL PRACTICE,N21 2SA,E54000028,E09000010,Enfield,QMJ,NHS North Central London ICB,E01001402,E02000297,N21 2SA,21481,8,21,22,51.6332477,-0.0937945
F85034,ARCADIAN GARDENS SURGERY,N22 5AB,E54000028,E09000014,Haringey,QMJ,NHS North Central London ICB,E01002102,E02000403,N22 5AB,7102,3,20,77,51.60673,-0.11077
F85035,HIGHLANDS PRACTICE,N21 1UJ,E54000028,E09000010,Enfield,QMJ,NHS North Central London ICB,E01001522,E02000295,N21 1UJ,11385,7,25,37,51.6458366,-0.1110815
F85039,RAINBOW PRACTICE,N9 0TW,E54000028,E09000010,Enfield,QMJ,NHS North Central London ICB,E01001429,E02000306,N9 0TW,7024,1,27,42,51.6237762,-0.0603112
F85043,BOUNDARY COURT SURGERY,N9 0TW,E54000028,E09000010,Enfield,QMJ,NHS North Central London ICB,E01001429,E02000306,N9 0TW,3313,1,20,33,51.6237762,-0.0603112
F85682,CHALFONT ROAD SURGERY,N9 0TW,E54000028,E09000010,Enfield,QMJ,NHS North Central London ICB,E01001429,E02000306,N9 0TW,3543,1,21,34,51.6237762,-0.0603112
Y03402,EVERGREEN PRIMARY CARE CENTRE,N9 0TW,E54000028,E09000010,Enfield,QMJ,NHS North Central London ICB,E01001429,E02000306,N9 0TW,20031,1,19,27,51.6237762,-0.0603112
F85046,HORNSEY PARK SURGERY,N8 0PH,E54000028,E09000014,Haringey,QMJ,NHS North Central London ICB,E01002030,E02000412,N8 0PH,9853,4,22,27,51.5891216,-0.1101052
F85058,NIGHTINGALE HOUSE SURGERY,N9 8AJ,E54000028,E09000010,Enfield,QMJ,NHS North Central London ICB,E01001476,E02000294,N9 8AJ,6707,3,31,32,51.6329718,-0.0459466
F85060,HAVERGAL SURGERY,N15 3DY,E54000028,E09000014,Haringey,QMJ,NHS North Central London ICB,E01002085,E02000415,N15 3DY,5686,3,28,40,51.58919,-0.10202
F85061,CHRISTCHURCH HALL SURGERY,N8 8AE,E54000028,E09000014,Haringey,QMJ,NHS North Central London ICB,E01001985,E02000429,N8 8AE,3023,8,25,51,51.57792,-0.12572
F85069,CROUCH HALL ROAD SURGERY,N8 8HJ,E54000028,E09000014,Haringey,QMJ,NHS North Central London ICB,E01001985,E02000429,N8 8HJ,7998,8,21,51,51.5796126,-0.126407
F85063,THE MUSWELL HILL PRACTICE,N10 3ST,E54000028,E09000014,Haringey,QMJ,NHS North Central London ICB,E01001997,E02000410,N10 3ST,15586,6,21,50,51.59068073333333,-0.13999786666666666
F85688,RUTLAND HOUSE SURGERY,N10 1DU,E54000028,E09000014,Haringey,QMJ,NHS North Central London ICB,E01001997,E02000410,N10 1DU,11039,6,24,54,51.5944290375,-0.144150375
F85064,STUART CRESCENT HEALTH CENTRE,N22 5NJ,E54000028,E09000014,Haringey,QMJ,NHS North Central London ICB,E01002105,E02000403,N22 5NJ,6864,3,13,43,51.60061886666667,-0.10984923333333332
F85065,STUART CRESCENT MEDICAL PRACTICE,N22 5NJ,E54000028,E09000014,Haringey,QMJ,NHS North Central London ICB,E01002105,E02000403,N22 5NJ,3099,3,23,55,51.60061886666667,-0.10984923333333332
F85066,BOUNDS GREEN GROUP PRACTICE,N11 2PF,E54000028,E09000014,Haringey,QMJ,NHS North Central London ICB,E01001973,E02000400,N11 2PF,18736,5,24,45,51.6069109,-0.126948
F85071,FERNLEA SURGERY,N15 6JR,E54000028,E09000014,Haringey,QMJ,NHS North Central London ICB,E01002051,E02000425,N15 6JR,12044,2,15,82,51.5785399,-0.0727899
F85072,GROVELANDS MEDICAL CENTRE,N13 4RJ,E54000028,E09000010,Enfield,QMJ,NHS North Central London ICB,E01001566,E02000305,N13 4RJ,10243,7,27,32,51.62069,-0.11203
F85615,TOTTENHAM HEALTH CENTRE,N17 8AH,E54000028,E09000014,Haringey,QMJ,NHS North Central London ICB,E01002034,E02006794,N17 8AH,5681,1,13,35,51.60476,-0.06848
F85623,GROVE ROAD SURGERY,N15 5HJ,E54000028,E09000014,Haringey,QMJ,NHS North Central London ICB,E01002046,E02000422,N15 5HJ,4445,3,17,44,51.58124,-0.08169
F85625,BINCOTE SURGERY,EN2 7RD,E54000028,E09000010,Enfield,QMJ,NHS North Central London ICB,E01001470,E02000289,EN2 7RD,6589,8,22,25,51.65305,-0.10924
F85628,DOWSETT ROAD SURGERY,N17 9DL,E54000028,E09000014,Haringey,QMJ,NHS North Central London ICB,E01002079,E02000408,N17 9DL,4778,4,14,46,51.59486,-0.06439
F85640,CHESHIRE ROAD SURGERY,N22 8JJ,E54000028,E09000014,Haringey,QMJ,NHS North Central London ICB,E01001975,E02000397,N22 8JJ,6679,5,26,68,51.60719200454545,-0.1134529
F85642,THE NORTH LONDON HEALTH CENTRE,N13 4JJ,E54000028,E09000010,Enfield,QMJ,NHS North Central London ICB,E01001501,E02000312,N13 4JJ,8714,4,24,58,51.6185336,-0.1118079
F85650,MORECAMBE SURGERY,N18 1LA,E54000028,E09000010,Enfield,QMJ,NHS North Central London ICB,E01001465,E02000307,N18 1LA,5607,4,22,33,51.617188,-0.0857787
F85663,LATYMER ROAD SURGERY,N9 9PU,E54000028,E09000010,Enfield,QMJ,NHS North Central London ICB,E01001462,E02000300,N9 9PU,4413,2,15,65,51.6269875,-0.0668082
F85666,DR ME SILVER'S PRACTICE,N18 2LY,E54000028,E09000010,Enfield,QMJ,NHS North Central London ICB,E01001432,E02000309,N18 2LY,3841,2,27,57,51.61601,-0.06373
F85669,WEST GREEN ROAD SURGERY,N15 3PB,E54000028,E09000014,Haringey,QMJ,NHS North Central London ICB,E01002043,E02000422,N8 0RA,21424,3,23,46,51.5859883,-0.09222285
F85675,THE ALEXANDRA SURGERY,N22 7UN,E54000028,E09000014,Haringey,QMJ,NHS North Central London ICB,E01001966,E02000405,N22 7UN,5605,7,18,38,51.59914041666667,-0.1371288833333333
F85678,TOWN SURGERY,EN2 6TJ,E54000028,E09000010,Enfield,QMJ,NHS North Central London ICB,E01001451,E02000293,EN2 6TJ,4347,6,16,24,51.6502276,-0.0838979
F85687,OAKWOOD MEDICAL CENTRE,N14 4AQ,E54000028,E09000010,Enfield,QMJ,NHS North Central London ICB,E01001418,E02000287,N14 4AQ,8186,5,19,22,51.64653,-0.13427
F85697,THE OLD SURGERY,N8 0RP,E54000028,E09000014,Haringey,QMJ,NHS North Central London ICB,E01001999,E02000419,N8 0RP,1959,3,15,64,51.5836291,-0.09972855
F85700,ARNOS GROVE MEDICAL CENTR,N11 1BD,E54000028,E09000010,Enfield,QMJ,NHS North Central London ICB,E01001530,E02000308,N11 1BD,8095,5,15,26,51.61548,-0.12984
F85701,GILLAN HOUSE SURGERY,N13 4BS,E54000028,E09000010,Enfield,QMJ,NHS North Central London ICB,E01001563,E02000305,N13 4BS,12719,6,25,54,51.6224459,-0.105467175
Y00057,ANGEL SURGERY,N18 2FF,E54000028,E09000010,Enfield,QMJ,NHS North Central London ICB,E01001555,E02000309,N18 2FF,14700,2,30,59,51.6115233,-0.0648669
Y00316,WOODLANDS MEDICAL PRACTICE,N2 8BG,E54000028,E09000003,Barnet,QMJ,NHS North Central London ICB,E01000177,E02000052,N2 8BG,5058,9,24,60,51.59291,-0.17094
Y00612,GREEN CEDARS MEDICAL CENTRE,N18 1RP,E54000028,E09000010,Enfield,QMJ,NHS North Central London ICB,E01001458,E02006793,N18 1RP,5138,2,20,26,51.61607,-0.07367
