Patient GP,GP practice name,Postcode,ICB23ons,LAD21,LAD21name,ICB23,ICB23name,LSOA11,MSOA11,POSTCODE,NUMBER_OF_PATIENTS,IMD2019 Decile,CountReferrals_Baseline,CountReferrals_CDC,Latitude,Longitude
F83022,CAVERSHAM GROUP PRACTICE,NW5 2UP,E54000028,E09000007,Camden,QMJ,NHS North Central London ICB,E01000925,E02000174,NW5 2UP,16883,3,38,67,51.5517,-0.1413
F83032,ST PETER'S STREET MEDICAL PRACTICE,N1 8JG,E54000028,E09000019,Islington,QMJ,NHS North Central London ICB,E01002801,E02000573,N1 8JG,11762,6,79,85,51.53669,-0.0944
F83671,THE BEAUMONT PRACTICE,N19 3YU,E54000028,E09000019,Islington,QMJ,NHS North Central London ICB,E01002758,E02000554,N19 3YU,3248,1,85,58,51.5649,-0.1351
F83052,BROOKFIELD PARK SURGERY,N19 5BZ,E54000028,E09000007,Camden,QMJ,NHS North Central London ICB,E01000908,E02000166,N19 5BZ,3637,3,2,96,51.5649,-0.1351
F83053,MILDMAY MEDICAL PRACTICE,N16 9NF,E54000028,E09000012,Hackney,QMJ,NHS North Central London ICB,E01001739,E02000356,N16 9NF,7319,4,25,72,51.5625,-0.074
F83057,PARLIAMENT HILL SURGERY,NW5 1TR,E54000028,E09000007,Camden,QMJ,NHS North Central London ICB,E01000912,E02000166,NW5 1TR,8112,4,64,85,51.5517,-0.1413
F83060,THE NORTHERN MEDICAL CENTRE,N7 6LB,E54000028,E09000019,Islington,QMJ,NHS North Central London ICB,E01002733,E02000560,N7 7JJ,8581,5,71,13,51.5491,-0.1205142857142857
F83683,SOMERS TOWN MEDICAL CENTRE,NW1 1HY,E54000028,E09000007,Camden,QMJ,NHS North Central London ICB,E01000956,E02000187,NW1 1HY,7300,2,25,26,51.52988181818182,-0.1471818181818182
F83664,THE VILLAGE PRACTICE,N7 7JJ,E54000028,E09000019,Islington,QMJ,NHS North Central London ICB,E01002732,E02000558,N7 7JJ,11110,1,31,22,51.5491,-0.1205142857142857
F83666,ANDOVER MEDICAL CENTRE,N7 7QZ,E54000028,E09000019,Islington,QMJ,NHS North Central London ICB,E01002731,E02000560,N7 7QZ,6400,4,86,95,51.5491,-0.1205142857142857
F83680,SOBELL MEDICAL CENTRE,N7 6NE,E54000028,E09000019,Islington,QMJ,NHS North Central London ICB,E01033491,E02000564,N7 6NE,4168,3,23,88,51.5491,-0.1205142857142857
F85067,THE 157 MEDICAL PRACTICE,N4 3PZ,E54000028,E09000019,Islington,QMJ,NHS North Central London ICB,E01002805,E02000556,N4 3PZ,4816,4,5,97,51.5693,-0.1069
F84724,WOODGRANGE MEDICAL PRACTICE,E7 0QH,E54000029,E09000025,Newham,QMF,NHS North East London ICB,E01003556,E02000721,E7 0QH,17291,2,11,99,51.5481,0.026475
F85002,MEDICUS HEALTH PARTNERS,N9 7HD,E54000028,E09000010,Enfield,QMJ,NHS North Central London ICB,E01001487,E02000299,N9 7HD,93594,2,30,100,51.6285,-0.0581
F85007,LAWRENCE HOUSE SURGERY,N15 4JR,E54000028,E09000014,Haringey,QMJ,NHS North Central London ICB,E01002067,E02000420,N15 4JR,16815,2,75,24,51.584300000000006,-0.073
F85705,JS MEDICAL PRACTICE,N15 4JR,E54000028,E09000014,Haringey,QMJ,NHS North Central London ICB,E01002067,E02000420,N15 4JR,12946,2,91,39,51.584300000000006,-0.073
F85008,STAUNTON GROUP PRACTICE,N22 8HE,E54000028,E09000014,Haringey,QMJ,NHS North Central London ICB,E01002098,E02000403,N22 8HE,12580,4,73,17,51.6,-0.1167
F85014,HIGHGATE GROUP PRACTICE,N6 4QA,E54000028,E09000014,Haringey,QMJ,NHS North Central London ICB,E01002010,E02000426,N6 4QA,16790,5,23,68,51.56570000000001,-0.159
F85016,COCKFOSTERS MEDICAL CTRE,EN4 9NB,E54000028,E09000010,Enfield,QMJ,NHS North Central London ICB,E01001415,E02000287,EN4 9NB,7014,6,75,74,51.650580000000005,-0.158
F85028,BRUCE GROVE PRIMARY HEALTH CARE CTR,N17 6QB,E54000028,E09000014,Haringey,QMJ,NHS North Central London ICB,E01001979,E02000407,N17 6QB,7391,2,53,43,51.59922,-0.07094
F85019,MORRIS HOUSE GROUP PRACTICE,N17 6AA,E54000028,E09000014,Haringey,QMJ,NHS North Central London ICB,E01002082,E02000409,N17 6AA,14636,1,26,67,51.59922,-0.07094
F85020,THE WOODBERRY PRACTICE,N21 3LE,E54000028,E09000010,Enfield,QMJ,NHS North Central London ICB,E01001564,E02000298,N21 3LE,9558,8,93,3,51.625,-0.1
F85023,THE ORDNANCE UNITY CENTRE FOR HEALTH,EN3 6ND,E54000028,E09000010,Enfield,QMJ,NHS North Central London ICB,E01001446,E02000277,EN3 6ND,12676,3,46,45,51.6445,-0.0465
F85029,ABERNETHY HOUSE SURGERY,EN1 3EB,E54000028,E09000010,Enfield,QMJ,NHS North Central London ICB,E01001544,E02000285,EN1 3EB,12344,8,40,33,51.6515,-0.085
F85046,HORNSEY PARK SURGERY,N8 0PH,E54000028,E09000014,Haringey,QMJ,NHS North Central London ICB,E01002030,E02000412,N8 0PH,9853,4,86,68,51.58336666666667,-0.1158333333333333
F85069,CROUCH HALL ROAD SURGERY,N8 8HJ,E54000028,E09000014,Haringey,QMJ,NHS North Central London ICB,E01001985,E02000429,N8 8HJ,7998,8,93,78,51.58336666666667,-0.1158333333333333
F85064,STUART CRESCENT HEALTH CENTRE,N22 5NJ,E54000028,E09000014,Haringey,QMJ,NHS North Central London ICB,E01002105,E02000403,N22 5NJ,6864,3,31,30,51.6,-0.1167
F85066,BOUNDS GREEN GROUP PRACTICE,N11 2PF,E54000028,E09000014,Haringey,QMJ,NHS North Central London ICB,E01001973,E02000400,N11 2PF,18736,5,33,58,51.6165,-0.1441
F85625,BINCOTE SURGERY,EN2 7RD,E54000028,E09000010,Enfield,QMJ,NHS North Central London ICB,E01001470,E02000289,EN2 7RD,6589,8,100,95,51.6515,-0.085
F85675,THE ALEXANDRA SURGERY,N22 7UN,E54000028,E09000014,Haringey,QMJ,NHS North Central London ICB,E01001966,E02000405,N22 7UN,5605,7,92,27,51.6,-0.1167
F85678,TOWN SURGERY,EN2 6TJ,E54000028,E09000010,Enfield,QMJ,NHS North Central London ICB,E01001451,E02000293,EN2 6TJ,4347,6,70,41,51.6515,-0.085
F85687,OAKWOOD MEDICAL CENTRE,N14 4AQ,E54000028,E09000010,Enfield,QMJ,NHS North Central London ICB,E01001418,E02000287,N14 4AQ,8186,5,98,39,51.63298,-0.13062
F85697,THE OLD SURGERY,N8 0RP,E54000028,E09000014,Haringey,QMJ,NHS North Central London ICB,E01001999,E02000419,N8 0RP,1959,3,21,75,51.58336666666667,-0.1158333333333333
F85700,ARNOS GROVE MEDICAL CENTR,N11 1BD,E54000028,E09000010,Enfield,QMJ,NHS North Central London ICB,E01001530,E02000308,N11 1BD,8095,5,54,80,51.6165,-0.1441
F86607,ADDISON ROAD MEDICAL PRACTICE,E17 9LY,E54000029,E09000031,Waltham Forest,QMF,NHS North East London ICB,E01004466,E02000909,E17 9LY,16275,6,43,11,51.58758,-0.02048
J83040,WESTBURY GROUP PRACTICE,BA13 3FQ,E54000040,E06000054,Wiltshire,QOX,"NHS Bath and North East Somerset, Swindon and Wiltshire ICB",E01032117,E02006691,BA13 3FQ,23893,6,11,98,51.26323333333333,-2.163855555555555
K82011,MILLBARN MEDICAL CENTRE,HP9 1TX,E54000044,E06000060,Buckinghamshire,QU9,"NHS Buckinghamshire, Oxfordshire and Berkshire West ICB",E01017801,E02003688,HP9 1TX,8835,10,76,28,51.615033333333336,-0.6150833333333333
Y00316,WOODLANDS MEDICAL PRACTICE,N2 8BG,E54000028,E09000003,Barnet,QMJ,NHS North Central London ICB,E01000177,E02000052,N2 8BG,5058,9,15,44,51.59,-0.1531
Y01066,HANLEY PRIMARY CARE CENTRE,N4 3DU,E54000028,E09000019,Islington,QMJ,NHS North Central London ICB,E01002804,E02000554,N4 3DU,10690,2,70,93,51.5693,-0.1069
Y01655,THE VALE PRACTICE,N8 8SU,E54000028,E09000014,Haringey,QMJ,NHS North Central London ICB,E01002024,E02000418,N8 8SU,10590,5,6,17,51.58336666666667,-0.1158333333333333
Y02117,ST ANN'S ROAD SURGERY,N15 5AZ,E54000028,E09000014,Haringey,QMJ,NHS North Central London ICB,E01002045,E02000422,N15 5AZ,16308,3,19,33,51.584300000000006,-0.073
Y03035,QUEENSWOOD MEDICAL PRACTICE,N8 8JD,E54000028,E09000014,Haringey,QMJ,NHS North Central London ICB,E01002019,E02000418,N8 8JD,21672,9,17,69,51.58336666666667,-0.1158333333333333
